talker,selection,name,spriteType,isMultiContent,content
0,0,Town Jjhief,0,0,…….
0,0,Town Jjhief,2,0,"Oh, You are…!"
0,0,Town Jjhief,2,0,……Squeak.
0,0,Town Jjhief,0,0,Wait. I can't believe…
0,0,Town Jjhief,0,0,The town is in chaos these days... I need to be sure you're the heir to 'that family'.
0,0,Town Jjhief,0,0,The Exam monster is very scary. It may have sent a subordinate.
0,0,Town Jjhief,0,0,……Squeak.
0,0,Town Jjhief,1,0,You have to answer some of my questions. It is a test.
0,0,Town Jjhief,1,0,Then… just simple questions.
0,1,Town Jjhief,1,0,"If the town becomes peaceful, where do you want to go for your summer vacation?"
0,1,Town Jjhief,1,0,What season do you like? Except summer.
0,1,Town Jjhief,1,0,"Squeak, Squeak… I'm getting to know… Then, what is your favorite fruit?"
0,1,Town Jjhief,1,0,"In our town's field, what catches your eyes?"
0,0,Town Jjhief,0,0,…….
0,0,Town Jjhief,0,0,……Squeak.
0,0,Town Jjhief,2,0,"Oh, You are…!"
0,0,Town Jjhief,2,1,<color=#a9ad35>The heir to the Doe Habeoreoseu family!</color>
0,0,Town Jjhief,2,2,<color=#479dda>The heir to the Pebeureo family!</color>
0,0,Town Jjhief,2,3,<color=#bf4240>The heir to the Gopaebureoseu family!</color>
0,0,Town Jjhief,0,0,Okay. I believe you.
0,0,Town Jjhief,0,0,But I can't designate you as Mathranger right now.
0,0,Town Jjhief,0,0,"As you know, our town is in danger because the Exam monster was unsealed."
0,0,Town Jjhief,0,0,"At first, it aimed for school. But now, it aims for the town center too."
0,0,Town Jjhief,0,0,"Mathranger is, squeak, an important role to succeed wise men who have sealed the Exam monster in the past."
0,0,Town Jjhief,1,0,I can't designate it to anyone!!!!!
0,0,Town Jjhief,0,0,"…So, I will test your qualification for the Mathranger."
0,0,Town Jjhief,0,0,You must be honest with your own ability. Squeak!
