talker,selection,name,spriteType,isMultiContent,content
0,0,쮝장,0,0,…….
0,0,쮝장,2,0,"오, 너는…!"
0,0,쮝장,2,0,……뀨잉.
0,0,쮝장,0,0,잠깐만. 의심스러워쮸…
0,0,쮝장,0,0,요새 마을이 혼란스러워서 말이쮝. 자네가 '그 가문'의 후계자인지 확신이 필요하쮸.
0,0,쮝장,0,0,시험 괴물 그것이 아주 무시무시해서 말이쮝. 부하를 보냈을 수도 있지 않은가.
0,0,쮝장,0,0,……뀨잉.
0,0,쮝장,1,0,내 물음에 몇 가지 답을 해줘쮸. 일종의 테스트라네쮸.
0,0,쮝장,1,0,"자, 그냥 간단한 질문이쮝."
0,1,쮝장,1,0,마을에 평화가 찾아온다면… 어디로 여름휴가를 떠나고 싶쮜?!
0,1,쮝장,1,0,그렇다면 여름을 제외하고 가장 좋아하는 계절은 언제쮜?!
0,1,쮝장,1,0,"음음, 대충 감이 오는데… 좋아하는 과일은 무엇이쮜?!"
0,1,쮝장,1,0,우리 마을의 들판에서 가장 눈을 사로잡는 존재는 어떤 거쮜?!
0,0,쮝장,0,0,…….
0,0,쮝장,0,0,……뀨잉.
0,0,쮝장,2,0,"오, 너는…!"
0,0,쮝장,2,1,"<color=#a9ad35>더 하버러스 가문의 후계자가 맞군!</color>"
0,0,쮝장,2,2,"<color=#479dda>페브러 가문의 후계자가 맞군!</color>"
0,0,쮝장,2,3,"<color=#bf4240>고패부러스 가문의 후계자가 맞군!</color>"
0,0,쮝장,0,0,좋아. 의심을 거두겠쮸.
0,0,쮝장,0,0,하지만 그렇다고 해서 자네를 바로 수학레인저로 임명할 수는 없어쮸.
0,0,쮝장,0,0,"자네도 알다시피, 시험 괴물의 봉인이 풀리는 바람에 지금 우리 마을이 큰 위험에 처했쮝."
0,0,쮝장,0,0,처음엔 학교만 점령했던 녀석이 점점 도심까지 노리고 있어쮸…
0,0,쮝장,0,0,수학레인저는 쮸. 과거 괴물을 봉인했던 현자들의 뒤를 잇는 중요한 역할이야.
0,0,쮝장,1,0,아무에게나 맡길 수는 없쮝!!!!!
0,0,쮝장,0,0,…그러니 자네가 과연 수학레인저의 자격이 있는지 테스트해보겠쮸.
0,0,쮝장,0,0,"자네의 실력대로, 솔직하게 응하게나!"
